Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
2016-01-01,1828.5850830078125,4452.1337890625,,,,19.05606460571289,-79.40389251708984,43.69552230834961,72.82988739013672,6.326512336730957,16.360441207885742,0.6499999761581421,10803,,,,,69814060,4873487,135955,
2016-01-02,1765.497802734375,3247.281005859375,,,,19.06838607788086,-80.59952545166016,43.76884841918945,72.82855224609375,5.524631500244141,35.580169677734375,0.550000011920929,9875,,,,,60829917,4138570,,
2016-01-03,1761.8695068359375,4193.14453125,,,,43.46786880493164,-80.55574798583984,43.47235107421875,-80.54139709472656,2.4125852584838867,4.240577697753906,0.5220153331756592,9129,,,,,74865166,4076765,,
2016-01-04,2006.5653076171875,8004.32666015625,,,,43.4680290222168,-80.55390167236328,43.471981048583984,-80.53966522216797,1.5455846786499023,3.1812734603881836,0.5000999569892883,14299,,,,,72839504,7128778,345979,60000
2016-01-05,1905.4306640625,6840.27685546875,,,,43.46747589111328,-80.57263946533203,43.47608184814453,-80.5403060913086,1.1068035364151,4.44018030166626,0.5103920102119446,11926,,,,,76364939,5863999,265276,
2016-01-06,1885.598388671875,5380.35595703125,,,,43.46757888793945,-80.55523681640625,43.47354507446289,-80.54232788085938,5.055943012237549,6.488089084625244,3.049999952316284,10637,,,,,75950686,4555957,661511,
2016-01-07,1920.382568359375,7401.3857421875,,,,43.466365814208984,-80.55482482910156,43.472293853759766,-80.54193878173828,2.3700642585754395,11.372093200683594,0.8100000023841858,15519,,,,,74782866,6312321,97563,60000
2016-01-08,1736.8262939453125,3681.531982421875,,,,43.4688835144043,-80.55481719970703,43.47250747680664,-80.5425033569336,,,,8188,,,,,77971281,3659024,,
2016-01-09,1659.882568359375,1691.865966796875,,,,43.46783447265625,-80.55421447753906,43.472129821777344,-80.55174255371094,0.9386131167411804,2.139369249343872,0.5308483242988586,4708,,,,,80361533,2340817,,
2016-01-10,1653.2882080078125,1941.653564453125,,,,43.468605041503906,-80.55392456054688,43.47080993652344,-80.55258178710938,2.0076825618743896,4.920000076293945,0.5600892901420593,5924,,,,,77524117,2213070,,
2016-01-11,1863.5848388671875,5890.0576171875,,,,43.468223571777344,-80.55419158935547,43.472835540771484,-80.5416030883789,1.04465913772583,2.0702173709869385,0.6307138800621033,11197,,,,,74810888,5825750,,
2016-01-12,1748.1806640625,3733.9287109375,,,,43.467628479003906,-80.55660247802734,43.472442626953125,-80.54259490966797,1.2271276712417603,5.980000019073486,0.5807753205299377,7859,,,,,78887646,3850113,,
2016-01-13,1788.0439453125,4217.07568359375,,,,43.46719741821289,-80.5589370727539,43.47503662109375,-80.54231262207031,1.3541260957717896,2.4302263259887695,0.5108815431594849,9115,,,,,77601180,3728167,349091,
2016-01-14,1738.1934814453125,3533.4658203125,,,,43.450992584228516,-80.59954071044922,43.47268295288086,-80.54261779785156,4.9085493087768555,8.9702730178833,0.8095060586929321,7729,,,,,78768603,3656483,,
2016-01-15,1793.6712646484375,5261.25390625,,,,43.469398498535156,-80.55387115478516,43.47307586669922,-80.54264831542969,2.805372714996338,5.391891956329346,0.5124451518058777,10538,,,,,76651779,4595582,,
2016-01-16,1718.0029296875,2942.0478515625,,,,43.40865707397461,-80.5538558959961,43.568817138671875,-79.6138687133789,3.5632123947143555,26.90001678466797,0.5869411826133728,7472,,,,,68729623,3315832,,
2016-01-17,1646.0888671875,1748.6134033203125,,,,43.40513610839844,-80.55326080322266,43.60289001464844,-79.58126831054688,3.1850850582122803,31.720190048217773,0.5099019408226013,5078,,,,,70470891,2101983,,
2016-01-18,1815.7169189453125,5082.1796875,,,,43.46820831298828,-80.55427551269531,43.472225189208984,-80.54175567626953,1.0168405771255493,1.8017768859863281,0.5063595175743103,10909,,,,,78607170,5006853,,
